Error Type Display Name,Error Type Description,Error Type Examples,Error Type Notes,Error Type Level #,Alphanumeric Error Type PID,"Mnemonic Error
Type ID",Error Type Parent,"See
Note #"
Terminology ,"Errors arising when a term does not conform to normative subject field or organizational terminology standards or when a term in the target content is not the correct, normative equivalent of the corresponding term in the source content.",,,0,MQMC_000000,terminology,,"1, 2"
Inconsistent with terminology resource,Use of a term that differs from term usage required by a specified termbase or other resource.,"1) A termbase specifies that the term 'USB memory stick' should be used, but the text uses 'USB flash drive'.
2) A French text translates English 'e-mail' as 'e-mail' but terminology guidelines mandated that 'courriel' be used. 
3) The English musicological term 'dog' is translated (literally) into German as 'Hund' instead of as 'Schnarre', as specified in a termbase.","Discussion–In some languages and for some text types and subject fields, terminological variety is acceptable and even desirable, but this must be clarified in job specifications.",1,MQMC_001000,termbase,terminology,3
Inconsistent use of terminology ,Use of multiple terms for the same concept in cases where consistency is desirable.,"The text refers to a component as the 'brake release lever', 'brake disengagement lever', 'manual brake release', and 'manual disengagement release'.","Discussion–Assuming that consistency is the default, specifications and language pair conventions for a given use case should clearly indicate whether synonym usage is allowable or even desirable. For instance, in Spanish social-science documents, authors often favor a high level of terminological variation, whereas English plain language requirements generally specify consistent usage throughout. Some fields, such as legal documents, require very consistent usage, regardless of language pair.",1,MQMC_002000,term-inconsistency,terminology,
Wrong term,Use of term that  it is not the term a domain expert would use or because it gives rise to a conceptual mismatch.,"The word 'river' in an English source text is translated into French as 'rivière'. But the river in question flows into the sea, not into a lake or another river, so the correct French translation should have been 'fleuve'.",,1,MQMC_003000,wrong-term,terminology,6
Accuracy,"Errors occurring when the target content does not accurately correspond to the propositional content of the source text because of distortion, omission, or addition to the message.",,,0,MQMC_100000,accuracy,,
Mistranslation,Error occurring when the target content that does not accurately represent the source content.,"A source text states that a medicine should not be administered in doses greater than 200 mg, but the translation states that it should be administered in doses greater than 200 mg (i.e., negation has been omitted).",,1,MQMC_101000,mistranslation,accuracy,
Overtranslation,Error occurring in the target content that is inappropriately more specific than the source content.,"The source text refers to a boy, but is translated with a word that applies only to young boys rather than the more general term.","Discussion–A distinction exists between the error  subtype overtranslation and the translation strategy explicitation (expansion), where it may be appropriate to provide a bit of information known to the source language audience that must be made explicit for the target language audience.",1,MQMC_102000,over-translation,accuracy,
Undertranslation,Error occurring in the target content that is inappropriately less specific than the source content.,"The source content uses words that refer to a specific type of military officer, but the target content refers to military officers in general.","Discussion– A distinction exists between the error  subtype undertranslation and the translation strategy implicitation, where it may be appropriate to omit a bit of information known to the target language audience that must be made explicit for the source language audience.",1,MQMC_103000,under-translation,accuracy,
Addition,Error occurring in the target content that includes content not present in the source.,A translation includes portions of another translation that were inadvertently pasted into the document.,,1,MQMC_104000,addition,accuracy,
Omission,Error where content present in the source is missing in the target.,A paragraph present in the source is missing in the translation.,,1,MQMC_105000,omission,accuracy,
Do not translate,"Error occurring when a text segment marked ""Do not transalate!"" is translated in the target text or a text feature specified to be kept in the source language is translated in the target text..","Meaningful brand names, which are intended to remain in the SL form.
A marketing slogan for worldwide use is intended to remain in English.
* A product name should not be translated because it is supposed to remain in English.
A Japanese translation refers to “Apple Computers” as アップルコンピュータ when the English expression should have been left untranslated.
",,1,MQMC_107000,no-translate,accuracy,
Untranslated,Error occurring when a text segment that was intended for translation is lef untranslated in the target content.,A sentence in a Japanese document translated into English is left in Japanese.,,1,MQMC_108000,untranslated,accuracy,
"Linguistic conventions
","Errors related to the linguistic well-formedness of the text, including problems with grammaticality, idiomaticity, and mechanical correctness.",,Discussion–This dimension covers errors that are undisputedly incorrect according to well-established language norms as opposed to Style.,0,MQMC_200000,fluency,,9
Grammar,"Error that occurs when a text string (sentence, phrase, other) in the translation violates the grammatical rules of the target language.",An English text reads “The man was seeing the his wife.,"Discussion–Grammar errors include lack of agreement between subject and verb, incorrect verb tenses or verb forms, and incorrect declension of nouns, pronouns, or adjectives.",1,MQMC_201000,grammar,fluency,
Punctuation,Punctuation incorrect according to target language conventions.,"1) An English text uses a semicolon where a comma should be used. 
2) A two-digit year reference begins with an open single quote instead of a close single quote (apostrophe).
3) A Greek text uses a question mark instead of the anticipated semicolon to express a question.
4) German quotation marks are carried over into English or French target content.",,1,MQMC_202000,punctuation,fluency,
Spelling,Error occurring when a word is misspelled.,The German word Zustellung is spelled Zustetlugn.,,1,MQMC_204000,spelling,fluency,
Unintelligible,Text garbled or incomprehensible.,"1) The following text appears in an English translation of a German automotive manual: “The brake from whe this કુતારો િસ S149235 part numbr,,.”
2) A UTF8 text is processed by a tool that expects ISO Latin-1 encoding and produces unreadable output.","Discussion 1–Unintelligible text may be due to conversion or other processing errors.
Discussion 2–If unintelligibility results from a font that does not support all needed characters or uses the wrong encoding, classify the error as Font.",1,MQMC_211000,unintelligible,fluency,
Character encoding,Error occurring when characters garbled due to incorrect application of an encoding.,"A text document in UTF-8 encoding is opened as ISO Latin-1, resulting in all “upper ASCII” characters being garbled.",,1,MQMC_212000,character-encoding,fluency,
Textual conventions,"Error that occurs when a text string (word, phrase, sentence, phrase, other) violates the text-building (discourse)norms  of the target language.","Differences between languages that affect the sequencing of information in sentences or even in the overall structure of documents can result in violations of textual conventions, even though grammatical and core stylistic rules are not necessarily violated.","Discussion–At the local level—often called cohesion—text-building requires connecting incoming text to previous text through related content or transitional phrases. At the global level—often called coherence—text-building requires  adhering to the message and filtering information so as to help readers elicit content from working memory, other texts, or their own world knowledge to make sense of the text.",1,MQMC_214000,textual-conventions,fluency,
Style,Errors occurring in a text that are grammatically acceptable but are inappropriate because they deviate from organizational style guides or exhibit inappropriate language style.,,"Discussion–Style errors manifest themselves in translations that are grammatically acceptable and correct at face value, but inappropriate because of style guides or specifications. Without style guides and proper specifications, such errors can give rise to discussions on subjectivity, as opposed to errors in  Linguistic Conventions that are undisputedly right or wrong.",0,MQMC_300000,style,,
Organization style,Errors occurring where text violates third-party style guidelines.,"Company style states that passive sentences may not be used, but the text uses passive sentences.",,1,MQMC_301000,company-style,style,10
Third-party style,Errors occurring where text violates third-party style guidelines.,"Specifications stated that English text was to be formatted according to the Chicago Manual of Style, but the text delivered followed the American Psychological Association style guide.",,1,MQMC_302000,third-party-style,style,11
Inconsistent with external reference,Errors occurring when text fails to conform wth a declared external style reference.,"1) Translation specifications state that quotes in a text must match the 1957 edition of a book, but the translator used the 1943 edition, which was substantially different.
2) Original English: Pursuant to Article 5(1) of Decision (CFSP) 2021/1143, the Council authorised the Political and Security Committee (PSC) to take decisions…
Official German: Gemäß Artikel 5 Absatz 1 des Beschlusses (GASP) 2021/1143 hat der Rat das Politische und Sicherheitspolitische Kommitee (PSK) ermächtigt…
Back translation: According to Article 5, Paragraph 1 of the Decision (GASP) 2021/1143, the Council has empowered the Political and Security Committee (PSK), to make decisions…
3) Example of translating a hidden quote instead of using the original:
Ist dies schon Tollheit, hat es doch Methode.
If this is already insanity, it nevertheless has method.
If this is actually hysterics, it still has method.
Shakespeare original: Though this be madness, yet there is method in ‘t.","Discussion–Such errors occur when an explicit or implicit quotation in the source text is translated without taking into account either the original text in the target language or for an existing official version. For instance, if a text quotes the Declaration of Human Rights, the translation should be taken exactly from the official translation.
https://www.un.org/en/about-us/universal-declaration-of-human-rights  
",1,MQMC_303000,inconsistent-external-reference,style,
Language register,Characteristic of text that uses a level of formality higher or lower than required by the specifications or general language conventions.,"A formal letter uses contractions, colloquialisms, and expressions characteristic of spoken rather than written language, and those elements come across as less serious than intended.
",,1,MQMC_304000,register,style,
Awkward style,"Style involving excessive wordiness or overly embedded clauses, often due to inappropriate retention of source text style in the target text.","A text is written with many embedded clauses and an excessively wordy style. While the intended meaning can be understood, and the text is grammatically correct, the text is very awkward and difficult to follow.
“However, a personal language variety (in such approaches called “idiolect”) usually is internally heterogeneous (it varies in particular according to different situations and/or media) and therefore not suitable to serve as the smallest unit of linguistic variation, whereby in contrast, idiolects according to the framework developed in this document, are homogeneous by definition, whereas personal varieties are sets of idiolects.”","Discussion 1–Some languages provide grammatical and stylistic features that support complex, embedded ideas, which can result in awkward style if a target text retains these features.
",1,MQMC_305000,awkward,style,
Unidiomatic style,"Style that is grammatical, but unnatural.","The following text appears in an English translation of a German letter: “We thanked him with heart” where “with heart” is an understandable, but non-idiomatic rendering, better stated as “heartily”.",Discussion–Unidiomatic  style  often occurs due to inappropriate retention of source content style in the target content.,1,MQMC_306000,unidiomatic,style,
Inconsistent style,Style that varies inconsistently throught the text.,"1)  One part of a text is written in a clear, “terse” style, while other sections are written in a more wordy style.
2) The same text recurs at several points in a large document that has been divided up and submitted to multiple translators, with the result that that text is translated in three different ways, which can involve different style as well as terminology or register differences.",Discussion–Inconsistent style  often occurs due to multiple translators contributing to the target content.,1,MQMC_307000,inconsistent-style,style,
Locale conventions,Errors occurring when the translation product violates locale-specific content or formatting requirements for data elements.,,,0,MQMC_400000,locale-convention,,
Number format,Inappropriate number format for its locale.,"A German text states “123,456” instead of the locale-appropriate “123.456”.",,1,MQMC_401000,number-format,locale-convention,
Currency format,Incorrect currency format for its locale.,"A text dealing with business transactions from English into Hindi assumes that all currencies will be expressed in simple units, while the convention in India is to give such prices in lakh rupees (100,000 rupees).",,1,MQMC_402000,currency-format,locale-convention,
Measurement format,Inappropriate measurement format for its locale.,A text created for use in France uses feet and inches and Fahrenheit temperatures.,,1,MQMC_403000,measurement-format,locale-convention,
Time format,Error involving incorrrect time format for its locale.,"Unless specified as using a 24 hour clock, US time formats report time after noon using 12-hour notation (for instance, '7:54:12 pm' instead of '19:54:12' used in many other countries.",,1,MQMC_404000,time-format,locale-convention,
Date format,Error involving inappropriate date format for its locale.,A German text has '06/07/2012' for '7 June 2012' instead of '07.06.2012'.,,1,MQMC_405000,date-format,locale-convention,
Address format,Error involving inappropriate address format for locale.,"An online form translated from English to Hindi requires a house number even though many addresses in India do not include a house number, or the postal code is in the wrong position for a given locale.",,1,MQMC_408000,address-format,locale-convention,
Telephone format,Error involving inappropriate  telephone number form for locale.,A German text presents a telephone number in the format (xxx) xxx - xxxx instead of the expected 0xx followed by a group of digits separated into groups by spaces.,,1,MQMC_410000,telephone-format,locale-convention,
Shortcut key,Shortcuts in translated software product  non-compliant with locale expectations or meaningless for locale.,"A software product uses CTRL-S to save a file in Hungarian, rather than the appropriate CTRL-M (for mentenni).",,1,MQMC_413000,shortcut-key,locale-convention,
"Audience appropriateness
",Errors arising from the use of target content that is invalid or inappropriate for the target locale or target audience.,,"Discussion–Audience appropriateness errors depend on extra-linguistic, often cultural values and can in most cases be judged to be correct in terms of, for instance, accuracy, spelling, and grammatical usage.
",0,MQMC_500000,verity,,12
Culture-specific reference,Error where content Inappropriately uses a culture-specific reference that will not be understandable to the intended audience.,"1) An English text refers to touchdown, end run or even the term football itself. These prove difficult to translate and confuse the target audience in Germany, for whom Fußball is a different game.
2) A marketing text in Greek includes reference to popular Greek music. When translated into English these references are not understandable to the target audience.","Discussion–In cases where texts are written with the intention that they will be translated, this error may indicate a broader conceptual or internationalization root cause.",1,MQMC_501000,culture-specific,verity,
Offensive,"Content that breaches commonly accepted standards of decent and proper speech, and is hence likely to offend the intended audience or other likely readers.","A source text refers to bacon as an example of a tasty food, but the reference is offensive when translated into Arabic.","Discussion 1–Offensive expressions, especially when voiced in oral discourse, are often represented in print using euphemisms or euphemistic abbreviations. (See also: Accuracy, Unjustified euphemism.)
Discussion 2–The relation between offensive content and error status is heavily dependent on specifications. Depending on translation requirements and the intent of a translation, offensive language and expressions can be intentionally translated using comparable target content. However, if the content is truly inappropriate in the target language, this material can be considered an error. Furthermore, content that is not offensive in the source can give rise to an error if the translated content produces unintentionally offensive content.",1,MQMC_502000,offensive,verity,
Design and markup,"Errors related to the physical design or presentation of a translation product, including character, paragraph, and UI element formatting and markup, integration of text with graphical elements, and overall page or window layout.",,,0,MQMC_600000,design,,
Character formatting,"Inappropriate application of any glyph variation that is applied to a character or string of characters, such as font, font style, font color, or font size.","1) An industry style guide specifies that ordinal numbers written with figures should use superscript ordinal indicators (1st, 2nd), but adscript (lining) ordinal indicators (1st, 2nd) were used instead. 
2) A corporate style guide specifies that body text in technical publications should be set in a serif font, but body text in advertising and public reports should be set in a sans serif font. 
3) The body text for an annual report was incorrectly set using the serif font specified for technical publications.",,1,MQMC_601000,local-formatting,design,13
Layout,"Inappropriate presentation format of paragraphs, headings, graphical elements, and user interface elements and their arrangement on a form, page, website, or application screen."," 1)  A fully justified paragraph was copied from one document and pasted into another where surrounding paragraphs were flush left, ragged right, creating a visual mismatch. 
2)  By design, text was intended to wrap around images, but an image was created as an inline image rather than a floating image, so it was repositioned below the paragraph as more text was added.","Discussion–Layout includes the justification, tabs, line indents, line spacing, and page breaking behavior of paragraphs and lists; the formatting and placement of graphical elements (tables, figures, boxes, sidebars, etc.) and user interface elements (taskbars, ribbons, menus, dialog boxes, error messages, etc.); and the size, margins, orientation, headers, footers, and columns of pages.",1,MQMC_602000,overall-design,design,
